truck_strategy,break_width,num_firetruck,max_speed,wind_dir,steps_to_extinguish_1_cell,placed_on_edges,Number_of_steps_to_ExtinguishFire,Number_of_extinguished_firecell,Number_of_burned_out_cell,Number_of_cells_on_fire,Maximum_growthrate_firecell_perstep,Maximum_extinguishedrate_firecell_perstep,Count_healthy_trees,Count_unhealthy_trees,Percentage_damaged_burnedtrees
Indirect attack,1,10,20,↖ North/West,1,1,85.90909091,102.3636364,1712.909091,1915.272727,20.36363636,5.909090909,4651.454545,1748.545455,21.85681818
Indirect attack,1,10,20,↖ North/West,2,0,105.0909091,116.8181818,2911.363636,3128.181818,25,5.727272727,3424.272727,2975.727273,37.19659091
Indirect attack,1,10,20,↖ North/West,2,1,97,168.8181818,2267.272727,2536.090909,24.54545455,7.181818182,4043.090909,2356.909091,29.46136364
Indirect attack,1,10,20,↖ North/West,6,0,117.1818182,78.09090909,3227.090909,3405.181818,23.45454545,4.363636364,3125.181818,3274.818182,40.93522727
Indirect attack,1,10,20,↖ North/West,6,1,105.9090909,66.81818182,2261.090909,2427.909091,21,4.090909091,4109.909091,2290.090909,28.62613636
Indirect attack,1,10,20,↗ North/East,1,0,64.09090909,69.81818182,1429.818182,1599.636364,18,4.818181818,4949.363636,1450.636364,18.13295455
Indirect attack,1,10,20,↗ North/East,1,1,92.18181818,118.6363636,2202.727273,2421.363636,20.27272727,5.545454545,4157.272727,2242.727273,28.03409091
Indirect attack,1,10,20,↗ North/East,2,0,96.90909091,117.9090909,2925.090909,3143,27.27272727,5.818181818,3401.545455,2998.454545,37.48068182
Indirect attack,1,10,20,↗ North/East,2,1,105.4545455,134.9090909,3288.818182,3523.727273,26.27272727,5.727272727,3015,3385,42.3125
Indirect attack,1,10,20,↗ North/East,6,0,79.09090909,78.27272727,2284.272727,2462.545455,19.09090909,4.818181818,4080.181818,2319.818182,28.99772727
Indirect attack,1,10,20,↗ North/East,6,1,88.09090909,66.63636364,1262.909091,1429.545455,16,4.090909091,5122.454545,1277.545455,15.96931818
